physical_node_id,row_source,symmetry_candidate_id,source_physical_node_id,front_node,front_node_source,side_node,side_node_source,top_node,top_node_source,candidate_status,notes
P001,manual_confirmed,,,F019,trace,S017,trace,T025,trace,,user confirmed T025 = F019 = S017
P002,manual_confirmed,,,F026,trace,S025,trace,T033,trace,,user confirmed F026 = T033 = S025
P003,manual_confirmed,,,F034,trace,S032,trace,T038,trace,,user confirmed T038 = F034 = S032
P004,manual_confirmed,,,F038,trace,S036,trace,,,,user confirmed S036 = F038
P005,manual_confirmed,,,F043,trace,S038,trace,,,,user reaffirmed F043 = S038
P006,manual_confirmed,,,F015,trace,S013,trace,,,,user reaffirmed F015 = S013
P007,manual_confirmed,,,F001,trace,S001,trace,T002,trace,,user confirmed F001 = T002 = S001
P008,manual_confirmed,,,F009,trace,S008,trace,T014,trace,,user confirmed F009 = S008 = T014
P009,manual_confirmed,,,F011,trace,S010,trace,T017,trace,,user corrected mapping: T017 = F011 = S010; replaced previous F010 = S010
P010,manual_confirmed,,,F004,trace,,,T012,trace,,user confirmed F004 = T012; side mapping parked
P011,manual_confirmed,,,F029,trace,S027,trace,T032,trace,,user confirmed S027 = F029 = T032
P012,manual_confirmed,,,F031,trace,S028,trace,T030,trace,,user confirmed T030 = F031 = S028
P013,manual_confirmed,,,F041,trace,S035,trace,T036,trace,,user confirmed F041 = S035 = T036
P014,manual_confirmed,,,F028,trace,S026,trace,T027,trace,,user confirmed T027 = F028 = S026
P015,manual_confirmed,,,F021,trace,S021,trace,T024,trace,,user confirmed S021 = F021 = T024
P016,manual_confirmed,,,F014,trace,S014,trace,T015,trace,,user confirmed F014 = T015 = S014
P017,manual_confirmed,,,F022,trace,S022,trace,T021,trace,,user confirmed S022 = F022 = T021
P018,manual_confirmed,,,F020,trace,S018,trace,T019,trace,,user confirmed T019 = F020 = S018
P019,manual_confirmed,,,F016,trace,S016,trace,T020,trace,,user confirmed S016 = F016 = T020
P020,manual_confirmed,,,F023,trace,S023,trace,T016,trace,,user confirmed S023 = F023 = T016
P021,manual_confirmed,,,F024,trace,S024,trace,,,,user reaffirmed F024 = S024
