key_rod_id,step,step_name,rod_kind,role,node_a,node_b,wireframe_rod_id,is_existing_wireframe_edge,node_a_x_mm,node_a_y_depth_mm,node_a_z_up_mm,node_b_x_mm,node_b_y_depth_mm,node_b_z_up_mm,gauge_length_mm,cardboard_strip_cut_length_mm,keep,criticality,install,fabrication_note
K001,1,Center spine,surface_edge,front centerline upper spine,P024,P010,PSR035,yes,0.142,56.344,68.768,-0.101,26.305,66.831,30.1,50.1,temporary_or_keep,high,Tape this first as the upper centerline reference.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K002,1,Center spine,temporary_gauge,front centerline nose gauge,P010,P022,,no,-0.101,26.305,66.831,0.001,-26.302,0.658,84.54,104.54,temporary,high,Add after K001 to locate the nose centerline.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K003,1,Center spine,temporary_gauge,nose to lower center gauge,P022,P003,,no,0.001,-26.302,0.658,0.126,-66.884,-78.131,88.63,108.63,temporary,high,Completes the centerline from forehead through nose to lower center.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K004,2,Bottom width frame,surface_edge,front lower chin width,P005,P035,PSR021,yes,20.978,-40.174,-110.0,-20.978,-40.174,-110.0,41.96,61.96,temporary_or_keep,high,Install square to the center spine; this sets the lower front width.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K005,2,Bottom width frame,temporary_gauge,rear lower width gauge,P031,P057,,no,59.297,58.675,-78.085,-59.297,58.675,-78.085,118.59,138.59,temporary,medium,Use as a removable spacer across the rear/lower side points.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K006,2,Bottom width frame,surface_edge,rear bottom width edge,P060,P072,PSR150,yes,-20.0,88.632,-66.699,20.0,88.632,-66.699,40.0,60.0,temporary_or_keep,high,Sets the back-bottom width and keeps the rear from pinching.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K007,3,Upper width gauges,temporary_gauge,upper cheek / forehead width,P028,P054,,no,37.198,44.938,62.884,-37.198,44.938,62.884,74.4,94.4,temporary,high,Use as an across-head spacer while taping forehead and cheek panels.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K008,3,Upper width gauges,temporary_gauge,ear-base lower width,P026,P052,,no,82.174,41.495,14.838,-82.174,41.495,14.838,164.35,184.35,temporary,high,Locks the left/right ear-base lower corners before ear panels go on.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K009,3,Upper width gauges,temporary_gauge,rear upper width gauge,P064,P067,,no,-50.0,97.93,29.133,50.0,97.93,29.133,100.0,120.0,temporary,medium,Use at the back/top area to keep the shell symmetric.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K010,3,Upper width gauges,temporary_gauge,ear-tip width gauge,P007,P037,,no,100.678,50.875,110.0,-100.678,50.875,110.0,201.36,221.36,temporary,medium,Use only as a temporary ear-tip spacing gauge; remove after ears are taped.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K011,4,Ear anchors,surface_edge,right ear lower surface anchor,P026,P069,PSR079,yes,82.174,41.495,14.838,54.945,73.222,32.9,45.54,65.54,keep,high,Install on the right side after K008; this anchors the projected ear edge to the head surface.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K012,4,Ear anchors,surface_edge,left ear lower surface anchor,P052,P066,PSR138,yes,-82.174,41.495,14.838,-54.945,73.222,32.9,45.54,65.54,keep,high,Mirror of K011; install at the same time so the ears stay symmetric.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K013,4,Ear anchors,surface_edge,right ear outer anchor,P007,P069,PSR026,yes,100.678,50.875,110.0,54.945,73.222,32.9,92.39,112.39,keep,high,Connects the right ear tip to the projected ear edge node.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K014,4,Ear anchors,surface_edge,left ear outer anchor,P037,P066,PSR102,yes,-100.678,50.875,110.0,-54.945,73.222,32.9,92.39,112.39,keep,high,Mirror of K013; keep both ear tips at matching angles.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K015,4,Ear anchors,temporary_gauge,right ear height gauge,P007,P026,,no,100.678,50.875,110.0,82.174,41.495,14.838,97.4,117.4,temporary,medium,Temporary straight gauge for right ear height and rake.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K016,4,Ear anchors,temporary_gauge,left ear height gauge,P037,P052,,no,-100.678,50.875,110.0,-82.174,41.495,14.838,97.4,117.4,temporary,medium,Temporary straight gauge for left ear height and rake.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K017,5,Twist locks,temporary_gauge,right rear-depth diagonal,P024,P071,,no,0.142,56.344,68.768,60.0,101.002,-19.332,115.49,135.49,temporary,medium,Temporary diagonal from forehead center to right rear depth point; prevents twist.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K018,5,Twist locks,temporary_gauge,left rear-depth diagonal,P024,P062,,no,0.142,56.344,68.768,-60.0,101.002,-19.332,115.64,135.64,temporary,medium,Mirror of K017; use both diagonals together.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
K019,5,Twist locks,temporary_gauge,right lower-depth diagonal,P003,P031,,no,0.126,-66.884,-78.131,59.297,58.675,-78.085,138.8,158.8,temporary,medium,Temporary lower diagonal to prevent the bottom from skewing.,Mark the gauge length on the strip; leave about 10 mm extra at each end for tape tabs.
