physical_node_id,front_node,source_physical_node_id,x_mm,y_mm_depth,z_mm_up,quality_notes,notes
P037,F_EST_SYM005,P007,-100.678,50.875,110.0,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,symmetry promoted from SYM005; source=P007; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P038,F_EST_SYM006,P008,-46.45,16.08,43.175,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,symmetry promoted from SYM006; source=P008; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P050,F_EST_SYM018,P021,-84.626,66.884,-36.674,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,symmetry promoted from SYM018; source=P021; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P051,F_EST_SYM019,P025,-101.277,42.283,75.26,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint,symmetry promoted from SYM019; source=P025; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror
P052,F_EST_SYM020,P026,-82.174,41.495,14.838,"symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source; reviewer edit: moved left ear endpoint onto head edge: (-81.684, 36.417, 25.140) -> (-82.174, 41.495, 14.838)","symmetry promoted from SYM020; source=P026; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source; reviewer edit: moved left ear endpoint onto head edge: (-81.684, 36.417, 25.140) -> (-82.174, 41.495, 14.838)"
P053,F_EST_SYM021,P027,-41.37,28.466,57.726,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,symmetry promoted from SYM021; source=P027; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P054,F_EST_SYM022,P028,-37.198,44.938,62.884,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint,symmetry promoted from SYM022; source=P028; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror
P055,F_EST_SYM023,P029,-39.743,10.71,-94.287,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,symmetry promoted from SYM023; source=P029; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P057,F_EST_SYM025,P031,-59.297,58.675,-78.085,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,symmetry promoted from SYM025; source=P031; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P058,F_EST_SYM026,P032,-61.717,34.799,-70.569,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,symmetry promoted from SYM026; source=P032; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P060,,S024/P050 and S031/P057; reviewer moved S029 halfway toward symmetry plane,-20.0,88.632,-66.699,manual side-only port placement: S029; x estimated at -20.0mm near S024/P050 and S031/P057; reviewer moved S029 halfway toward symmetry plane; side-view depth/height used directly,manual side-only port placement: S029; x estimated at -20.0mm near S024/P050 and S031/P057; reviewer moved S029 halfway toward symmetry plane; side-view depth/height used directly
P062,,S024/P050 and S029/P060; reviewer moved S019 halfway toward symmetry plane,-60.0,101.002,-19.332,manual side-only port placement: S019; x estimated at -60.0mm near S024/P050 and S029/P060; reviewer moved S019 halfway toward symmetry plane; side-view depth/height used directly,manual side-only port placement: S019; x estimated at -60.0mm near S024/P050 and S029/P060; reviewer moved S019 halfway toward symmetry plane; side-view depth/height used directly
P063,,"S029/P060, S019/P062, S011/P064; reviewer moved S020 halfway toward symmetry plane",-40.0,112.679,-21.822,"manual side-only port placement: S020; x estimated at -40.0mm near S029/P060, S019/P062, S011/P064; reviewer moved S020 halfway toward symmetry plane; side-view depth/height used directly","manual side-only port placement: S020; x estimated at -40.0mm near S029/P060, S019/P062, S011/P064; reviewer moved S020 halfway toward symmetry plane; side-view depth/height used directly"
P064,,S007/P066 and S019/P062; reviewer moved S011 halfway toward symmetry plane,-50.0,97.93,29.133,manual side-only port placement: S011; x estimated at -50.0mm near S007/P066 and S019/P062; reviewer moved S011 halfway toward symmetry plane; side-view depth/height used directly,manual side-only port placement: S011; x estimated at -50.0mm near S007/P066 and S019/P062; reviewer moved S011 halfway toward symmetry plane; side-view depth/height used directly
P065,,S020/P063 and S011/P064; reviewer moved S009 halfway toward symmetry plane,-20.0,105.568,30.809,manual side-only port placement: S009; x estimated at -20.0mm near S020/P063 and S011/P064; reviewer moved S009 halfway toward symmetry plane; side-view depth/height used directly,manual side-only port placement: S009; x estimated at -20.0mm near S020/P063 and S011/P064; reviewer moved S009 halfway toward symmetry plane; side-view depth/height used directly
P066,,former S013/P036 path removed; near S011/P064,-54.945,73.222,32.9,"manual side-only port placement: S007; x estimated at -74.0mm near former S013/P036 path removed; near S011/P064; side-view depth/height used directly; reviewer edit: mirror of P069 projected onto left head surface plane P064-P052-P054: (-74.000, 79.685, 50.275) -> (-54.945, 73.222, 32.900)","manual side-only port placement: S007; x estimated at -74.0mm near former S013/P036 path removed; near S011/P064; side-view depth/height used directly; reviewer edit: mirror of P069 projected onto left head surface plane P064-P052-P054: (-74.000, 79.685, 50.275) -> (-54.945, 73.222, 32.900)"
P067,,P064,50.0,97.93,29.133,"manual mirrored backside point for S011; source=P064; same y/z, opposite x","manual mirrored backside point for S011; source=P064; same y/z, opposite x"
P068,,P065,20.0,105.568,30.809,"manual mirrored backside point for S009; source=P065; same y/z, opposite x","manual mirrored backside point for S009; source=P065; same y/z, opposite x"
P069,,P066,54.945,73.222,32.9,"manual mirrored backside point for S007; source=P066; same y/z, opposite x; reviewer edit: projected right ear edge node onto plane P067-P026-P028: (74.000, 79.685, 50.275) -> (54.945, 73.222, 32.900)","manual mirrored backside point for S007; source=P066; same y/z, opposite x; reviewer edit: projected right ear edge node onto plane P067-P026-P028: (74.000, 79.685, 50.275) -> (54.945, 73.222, 32.900)"
P070,,P063,40.0,112.679,-21.822,"manual mirrored backside point for S020; source=P063; same y/z, opposite x","manual mirrored backside point for S020; source=P063; same y/z, opposite x"
P071,,P062,60.0,101.002,-19.332,"manual mirrored backside point for S019; source=P062; same y/z, opposite x","manual mirrored backside point for S019; source=P062; same y/z, opposite x"
P072,,P060,20.0,88.632,-66.699,"manual mirrored backside point for S029; source=P060; same y/z, opposite x","manual mirrored backside point for S029; source=P060; same y/z, opposite x"
