physical_node_id,row_source,candidate_status,source_physical_node_id,front_node,side_node,top_node,front_node_source,side_node_source,top_node_source,constraint_quality,constraint_risk,node_color,quality_notes,source_depth_estimated,depth_region,depth_percent,x_mm,y_mm_depth,z_mm_up,x_px,depth_px,z_y_px,front_x_px,side_depth_px,top_depth_as_side_px,front_y_px,side_y_as_front_y_px,notes
P001,manual_confirmed,,,F019,S017,T025,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.214,13.078,-38.322,-15.245,477.247,1743.558,635.874,476.853,1730.676,1756.4398607342578,635.267,636.4809541619751,user confirmed T025 = F019 = S017
P002,manual_confirmed,,,F026,S025,T033,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.003,13.477,-66.517,-48.345,478.4,1661.96,731.668,477.576,1638.503,1685.4166531905157,729.785,733.5500947202358,user confirmed F026 = T033 = S025
P003,manual_confirmed,,,F034,S032,T038,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.0,0.126,-66.884,-78.131,439.762,1660.896,817.872,436.536,1662.63,1659.1616326890476,818.092,817.6518148212875,user confirmed T038 = F034 = S032
P004,manual_confirmed,,,F038,S036,,trace,trace,,manual_partial,2,#64748b,no top-view depth cross-check,False,front/shallow half,0.101,-0.901,-53.315,-93.961,436.789,1700.165,863.684,436.789,1700.165,,853.67,873.6981784039622,user confirmed S036 = F038
P005,manual_confirmed,,,F043,S038,,trace,trace,,manual_partial,2,#64748b,no top-view depth cross-check; reviewer edit: P005 forced to exact mirror of P035 for bottom panel symmetry,False,front/shallow half,0.2,20.978,-40.174,-110.0,493.361,1738.196,910.102,493.361,1738.196,,910.102,909.4292182417418,user reaffirmed F043 = S038; reviewer edit: P005 forced to exact mirror of P035 for bottom panel symmetry
P007,manual_confirmed,,,F001,S001,T002,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,back/deep half,0.88,100.678,50.875,110.0,730.767,2001.699,273.408,732.276,1985.324,2018.0748449074613,275.108,271.7080300314148,user confirmed F001 = T002 = S001
P008,manual_confirmed,,,F009,S008,T014,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,back/deep half,0.62,46.45,16.08,43.175,573.827,1901.0,466.805,568.813,1892.185,1909.8156919687435,468.122,465.48736184940003,user confirmed F009 = S008 = T014
P009,manual_confirmed,,,F011,S010,T017,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.384,27.005,-15.535,31.183,517.552,1809.503,501.509,517.98,1786.342,1832.6636964149172,498.842,504.1754601941697,user corrected mapping: T017 = F011 = S010; replaced previous F010 = S010
P010,manual_confirmed,,,F004,,T012,trace,,trace,manual_partial,2,#64748b,hidden side has no visible side-view constraint,False,back/deep half,0.697,-0.101,26.305,66.831,439.105,1930.591,398.341,436.698,,1930.5914638509216,398.341,,user confirmed F004 = T012; side mapping parked
P011,manual_confirmed,,,F029,S027,T032,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.053,20.519,-59.814,-55.058,498.78,1681.358,751.096,501.241,1674.094,1688.6220826409694,752.099,750.093937179949,user confirmed S027 = F029 = T032
P012,manual_confirmed,,,F031,S028,T030,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.117,42.611,-51.213,-61.676,562.715,1706.249,770.248,567.879,1708.046,1704.4516940094497,771.784,768.7120440735011,user confirmed T030 = F031 = S028
P013,manual_confirmed,,,F041,S035,T036,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.082,27.003,-55.85,-96.386,517.547,1692.83,870.702,516.985,1712.519,1673.1418251280954,873.351,868.052519268719,user confirmed F041 = S035 = T036
P014,manual_confirmed,,,F028,S026,T027,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.265,55.045,-31.401,-53.353,598.701,1763.586,746.162,602.744,1776.789,1750.3835313016327,744.471,747.8527663495915,user confirmed T027 = F028 = S026
P015,manual_confirmed,,,F021,S021,T024,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.25,22.231,-33.475,-25.737,503.733,1757.586,666.239,505.452,1752.718,1762.4530600612525,665.552,666.925284163048,user confirmed S021 = F021 = T024
P016,manual_confirmed,,,F014,S014,T015,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.444,68.285,-7.531,8.451,637.019,1832.669,567.299,640.439,1827.412,1837.9255693018297,567.084,567.5134212922108,user confirmed F014 = T015 = S014
P017,manual_confirmed,,,F022,S022,T021,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.358,69.376,-19.025,-30.945,640.175,1799.403,681.313,642.156,1808.252,1790.554049083703,681.37,681.2551032183434,user confirmed S022 = F022 = T021
P018,manual_confirmed,,,F020,S018,T019,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.359,52.637,-18.912,-16.89,591.732,1799.729,640.636,592.797,1800.181,1799.2775442485138,640.419,640.852695198491,user confirmed T019 = F020 = S018
P019,manual_confirmed,,,F016,S016,T020,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.314,29.307,-24.847,0.593,524.212,1782.554,590.038,526.941,1773.756,1791.3510934357535,588.1,591.9752629843441,user confirmed S016 = F016 = T020
P020,manual_confirmed,,,F023,S023,T016,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,front/shallow half,0.537,82.229,4.96,-31.249,677.371,1868.817,682.192,679.932,1900.976,1836.6584067984077,682.235,682.1499628141344,user confirmed S023 = F023 = T016
