symmetry_candidate_id,source_physical_node_id,candidate_status,source_front_node,source_side_node,source_top_node,mirror_front_node,mirror_side_node,mirror_top_node,front_match_state,top_match_state,predicted_front_x_px,predicted_front_y_px,front_match_distance_px,predicted_top_x_px,predicted_top_y_px,top_match_distance_px,front_offset_from_axis_px,top_offset_from_axis_px,notes
SYM001,P001,ready_for_review,F019,S017,T025,F018,,T026,unmapped_trace_match,unmapped_trace_match,396.643,635.267,1.571,403.878,1595.996,0.76,40.105,32.869,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM002,P002,ready_for_review,F026,S025,T033,F025,,T034,unmapped_trace_match,unmapped_trace_match,395.92,729.785,3.177,402.416,1678.332,2.088,40.828,34.331,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM003,P005,ready_for_review,F043,S038,,F042,,,unmapped_trace_match,no_source_top,380.135,910.227,1.455,,,,56.613,,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM004,P006,needs_manual_trace_or_estimate,F015,S013,,,,,no_close_trace_match,no_source_top,200.99,569.959,205.08,,,,235.758,,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM005,P007,needs_manual_trace_or_estimate,F001,S001,T002,,,,no_close_trace_match,no_close_trace_match,141.22,275.108,318.35,171.529,1292.687,264.693,295.528,265.218,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM006,P008,needs_manual_trace_or_estimate,F009,S008,T014,,,,no_close_trace_match,no_close_trace_match,304.683,468.122,135.393,310.427,1418.19,128.112,132.065,126.32,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM007,P009,needs_manual_trace_or_estimate,F011,S010,T017,,,,no_close_trace_match,no_close_trace_match,355.516,498.842,81.237,367.417,1507.631,69.416,81.232,69.33,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM008,P011,ready_for_review,F029,S027,T032,F030,,T031,unmapped_trace_match,unmapped_trace_match,372.255,752.099,2.369,386.629,1674.616,1.048,64.493,50.118,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM009,P012,partial_trace_match,F031,S028,T030,,,T029,no_close_trace_match,unmapped_trace_match,305.617,771.784,68.184,330.087,1656.265,1.083,131.131,106.66,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM010,P013,ready_for_review,F041,S035,T036,F040,,T037,unmapped_trace_match,unmapped_trace_match,356.511,873.351,2.338,366.509,1692.562,3.883,80.237,70.238,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM011,P014,partial_trace_match,F028,S026,T027,,,T028,no_close_trace_match,unmapped_trace_match,270.752,744.471,101.268,295.821,1603.017,3.178,165.996,140.926,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM012,P015,partial_trace_match,F021,S021,T024,,,T023,no_close_trace_match,unmapped_trace_match,368.044,665.552,42.114,381.37,1589.025,1.34,68.704,55.377,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM013,P016,needs_manual_trace_or_estimate,F014,S014,T015,,,,no_close_trace_match,no_close_trace_match,233.057,567.084,175.97,259.862,1501.531,108.948,203.691,176.885,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM014,P017,needs_manual_trace_or_estimate,F022,S022,T021,,,,no_close_trace_match,no_close_trace_match,231.34,681.37,158.057,255.618,1556.448,63.781,205.408,181.129,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM015,P018,needs_manual_trace_or_estimate,F020,S018,T019,,,,no_close_trace_match,no_close_trace_match,280.699,640.419,115.327,299.506,1546.335,56.876,156.049,137.241,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM016,P019,needs_manual_trace_or_estimate,F016,S016,T020,,,,no_close_trace_match,no_close_trace_match,346.555,588.1,67.292,363.393,1555.524,37.968,90.193,73.354,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM017,P020,needs_manual_trace_or_estimate,F023,S023,T016,,,,no_close_trace_match,no_close_trace_match,193.564,682.235,192.03,221.806,1503.0,126.49,243.184,214.941,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM018,P021,needs_manual_trace_or_estimate,F024,S024,,,,,no_close_trace_match,no_source_top,189.186,689.963,193.386,,,,247.562,,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM019,P025,needs_manual_trace_or_estimate,F002,,T008,,,,no_close_trace_match,no_close_trace_match,144.135,373.948,293.508,165.639,1340.497,275.661,292.613,271.108,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM020,P026,needs_manual_trace_or_estimate,F012,S012,T013,,,,no_close_trace_match,no_close_trace_match,206.368,520.085,221.038,212.893,1408.64,212.768,230.38,223.854,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM021,P027,needs_manual_trace_or_estimate,F007,S004,T010,,,,no_close_trace_match,no_close_trace_match,322.763,424.982,117.008,320.884,1376.643,116.685,113.985,115.863,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM022,P028,needs_manual_trace_or_estimate,F005,,T007,,,,no_close_trace_match,no_close_trace_match,330.403,409.765,106.907,336.129,1331.592,108.105,106.345,100.618,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM023,P029,needs_manual_trace_or_estimate,F039,S034,,,,,no_close_trace_match,no_source_top,319.079,867.377,36.696,,,,117.669,,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM024,P030,needs_manual_trace_or_estimate,F037,S033,,,,,no_close_trace_match,no_source_top,309.195,840.024,55.888,,,,127.553,,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM025,P031,needs_manual_trace_or_estimate,F035,S031,,,,,no_close_trace_match,no_source_top,262.491,818.488,106.976,,,,174.257,,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
SYM026,P032,needs_manual_trace_or_estimate,F032,S030,,,,,no_close_trace_match,no_source_top,255.486,798.354,123.796,,,,181.262,,review_only; no side projection is assigned because the mirrored point is on the hidden side of the side view
