physical_node_id,constraint_quality,front_node,side_node,top_node,top_x_error_px,top_depth_error_px,front_side_height_error_px,issue,quality_notes
P001,high_confidence,F019,S017,T025,0.787,25.764,1.214,,manual front+side+top trace
P002,high_confidence,F026,S025,T033,1.648,46.914,3.765,top_depth_mismatch,manual front+side+top trace
P003,high_confidence,F034,S032,T038,6.452,-3.468,-0.44,,manual front+side+top trace
P004,manual_partial,F038,S036,,,,20.028,front_side_height_mismatch no_top_constraint,no top-view depth cross-check
P005,manual_partial,F043,S038,,,,-0.798,no_top_constraint manual_mirror_override,no top-view depth cross-check; reviewer edit: P005 forced to exact mirror of P035 for bottom panel symmetry
P007,high_confidence,F001,S001,T002,-3.019,32.751,-3.4,,manual front+side+top trace
P008,high_confidence,F009,S008,T014,10.028,17.631,-2.635,,manual front+side+top trace
P009,high_confidence,F011,S010,T017,-0.855,46.322,5.333,top_depth_mismatch,manual front+side+top trace
P010,manual_partial,F004,,T012,4.815,,,no_visible_side_constraint,hidden side has no visible side-view constraint
P011,high_confidence,F029,S027,T032,-4.921,14.528,-2.005,,manual front+side+top trace
P012,high_confidence,F031,S028,T030,-10.328,-3.594,-3.072,,manual front+side+top trace
P013,high_confidence,F041,S035,T036,1.123,-39.377,-5.298,,manual front+side+top trace
P014,high_confidence,F028,S026,T027,-8.086,-26.405,3.382,,manual front+side+top trace
P015,high_confidence,F021,S021,T024,-3.437,9.735,1.373,,manual front+side+top trace
P016,high_confidence,F014,S014,T015,-6.84,10.514,0.429,,manual front+side+top trace
P017,high_confidence,F022,S022,T021,-3.961,-17.698,-0.115,,manual front+side+top trace
P018,high_confidence,F020,S018,T019,-2.129,-0.903,0.434,,manual front+side+top trace
P019,high_confidence,F016,S016,T020,-5.458,17.595,3.875,,manual front+side+top trace
P020,high_confidence,F023,S023,T016,-5.121,-64.318,-0.085,top_depth_mismatch,manual front+side+top trace
P021,manual_partial,F024,S024,,,,15.859,front_side_height_mismatch no_top_constraint,no top-view depth cross-check
P022,manual_partial,F017,,T022,5.049,,,no_visible_side_constraint,hidden side has no visible side-view constraint
P023,manual_partial,F010,,T018,5.298,,,no_visible_side_constraint,hidden side has no visible side-view constraint
P024,manual_partial,F003,,T003,5.531,,,no_visible_side_constraint,hidden side has no visible side-view constraint
P025,manual_partial,F002,,T008,6.275,,,no_visible_side_constraint,hidden side has no visible side-view constraint
